X,Y,Z_10,Ss_10,Z_5,Ss_5,Z_2,Ss_2
134983.74897784757,679991.3425451915,0.05123164782991181,0.1206611749814793,0.06926633642806128,0.16657502027385143,0.10655339069104816,0.2608901615254895
134983.0440894239,689991.4278908155,0.052465984381239374,0.12340569738193856,0.07256117144167687,0.1742262694387408,0.11616968803234187,0.2834031492249528
134982.33743775872,699991.5132979461,0.05436361703625861,0.12802430781700772,0.07564838700062869,0.181946197927374,0.12011907903927131,0.29405337121139935
134981.62902468076,709991.5987673716,0.05590277198066691,0.13193301660826662,0.07733084917277767,0.18643384005593752,0.12032893627743801,0.29574207132160235
134980.91885201808,719991.6842998707,0.05720625881918299,0.13537009868729044,0.07866660552716492,0.19016319331189668,0.1221532907656749,0.3004128999840026
134980.20692160563,729991.7698962141,0.05836767002488272,0.13844804316107484,0.07970913360135586,0.193110242392775,0.12268250768609978,0.302204225916219
134979.49323528382,739991.855557166,0.05961627604835612,0.1417440800121166,0.0807539736435891,0.19606120475031155,0.1221934628928908,0.30194109757479204
134978.77779489508,749991.941283483,0.06109056515270405,0.14565365214930862,0.08232057776056245,0.20041218440897224,0.12422898403937764,0.30726711650643435
134978.06060228765,759992.0270759229,0.06284843037783866,0.15026696513860072,0.08420851163648657,0.2055865494689031,0.12563191304449117,0.31163188939146436
134977.34165931345,769992.1129352245,0.06491197555748542,0.15562602051539065,0.08646913927686012,0.21170500290356858,0.12659099094717,0.31549645416549316
134976.62096783094,779992.1988621254,0.06803268155706949,0.1637287643286916,0.09046284437008871,0.22237363188845252,0.13154329365671305,0.32899983463659666
134975.89852969788,789992.2848573611,0.0721855525205461,0.17433485833982865,0.09619887327636348,0.2373586138851292,0.13842076089080682,0.34804191873031676
134975.17434678072,799992.3709216521,0.07703460183506763,0.18649740847776608,0.10361726986075807,0.2561802884106567,0.148404181802083,0.37475911083486
134974.44842094966,809992.4570557183,0.0843801022753423,0.20466041954843597,0.11699426958488211,0.2887837052899198,0.1727522772694215,0.433579395982805
140005.4051750651,359988.9622316932,0.08501196803238893,0.21041756450818594,0.1057072043243392,0.2675230069783946,0.135876164651106,0.3529943861611106
140004.75765357126,369989.04697328765,0.08275462848079564,0.20436897425402406,0.10252074760291728,0.2588189547713557,0.1311554903825061,0.3397827168016531
140004.10831327288,379989.13174693764,0.08413603382475687,0.20731346063377057,0.10507396438769664,0.2646095989831572,0.1353551287313017,0.3496730172011305
